neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
PDEL,sensory,GS,-0.195188750915019,0.172335600907029,2
PDER,sensory,GS,-0.402135860318895,0.253968253968254,2
PHAL,sensory,GS,-0.644452787396813,0.442777777777778,2
PHAR,sensory,GS,-0.70955303817173,0.482248520710059,2
PHBL,sensory,GS,0.372738630961261,0.0780827474310438,2
PHBR,sensory,GS,0.275088254798886,0.0632235464992097,2
PHCL,sensory,GS,-1.15892320162662,0.698224852071006,3
PHCR,sensory,GS,-0.45165332070026,0.692491319444444,3
IL2DL,sensory,GS,-0.0975215456226431,0.152199762187872,2
IL2DR,sensory,GS,0.663541867851362,0.0508128544423441,2
IL2L,sensory,GS,-0.0513964902605821,0.334294502114571,2
IL2R,sensory,GS,-0.305084294751917,0.347205707491082,2
IL2VL,sensory,GS,0.294541424954875,0.111226317277783,2
IL2VR,sensory,GS,1.56298044741155,0.0899555555555556,2
CEPDL,sensory,GS,0.340666480316936,0.626155102040816,3
CEPDR,sensory,GS,0.663541867851362,0.46360312832616,2
CEPVL,sensory,GS,0.271478897273844,0.488237765175383,2
CEPVR,sensory,GS,-0.166709128665734,0.603601182477829,2
URYDL,sensory,GS,-0.684749704679363,0.547692307692308,2
URYDR,sensory,GS,-0.661484563198062,0.497918834547347,2
URYVL,sensory,GS,-0.521893714310258,0.6434326171875,3
URYVR,sensory,GS,-0.390057912582888,0.561226633060282,2
OLLL,sensory,GS,0.606731298025,0.608732989826926,2
OLLR,sensory,GS,0.166968690541763,0.629089039199399,3
OLQDL,sensory,GS,-0.305084294751917,0.46875,2
OLQDR,sensory,GS,-0.720209793010465,0.477040816326531,2
OLQVL,sensory,GS,-0.46652198851913,0.333827160493827,2
OLQVR,sensory,GS,0.409854063360027,0.495,2
IL1DL,sensory,GS,-0.604897154605313,0.328180737217598,2
IL1DR,sensory,GS,0.317603952635905,0.510360110803324,2
IL1L,sensory,GS,-0.514138667149824,0.406163434903047,2
IL1R,sensory,GS,-0.413323054064188,0.368358913813459,2
IL1VL,sensory,GS,-0.166709128665734,0.488980716253444,2
IL1VR,sensory,GS,-0.0975215456226431,0.471917692696914,2
AINL,interneuron,GS,-0.984789538488024,0.550123456790123,2
AINR,interneuron,GS,-0.959979371109541,0.598077607689569,2
AIML,interneuron,GS,-0.612637027810782,0.39873599540362,2
AIMR,interneuron,GS,-0.637447195189264,0.499540863177227,2
RIH,interneuron,GS,2.62385672073895,0.706003731132342,6
URBL,interneuron,GS,-1.12645074323246,0.661810613943808,3
URBR,interneuron,GS,-0.651022209967374,0.64233287046221,3
RIR,interneuron,GS,-0.352130270336712,0.707701008577623,3
AIYL,interneuron,GS,1.27293569295391,0.622406184041008,2
AIYR,interneuron,GS,1.32255602771088,0.646554259386335,3
AIAL,interneuron,GS,2.14129155120081,0.228605038721694,2
AIAR,interneuron,GS,2.05445596537612,0.0858477464966545,2
AUAL,interneuron,GS,0.0634951358398255,0.604216639313218,2
AUAR,interneuron,GS,-0.453872637669864,0.59875,2
AIZL,interneuron,GS,2.57546948032426,0.603798126951093,6
AIZR,interneuron,GS,2.0792661327546,0.573994109068032,2
RIS,interneuron,GS,0.943020350806298,0.638350661625709,3
ALA,interneuron,GS,0.128612690555323,0.223025959978367,2
PVQL,interneuron,GS,-0.401750605093678,0.18625,2
PVQR,interneuron,GS,-0.637447195189264,0.421487603305785,2
ADAL,interneuron,GS,-0.563077473928167,0.558869701726845,2
ADAR,interneuron,GS,-0.701415506824865,0.65575512806887,3
RIFL,interneuron,GS,-0.685140444131136,0.244897959183674,2
RIFR,interneuron,GS,-0.60023194412154,0.546087966323124,2
BDUL,interneuron,GS,-0.807203414334105,0.736455463728191,3
BDUR,interneuron,GS,-0.644452787396813,0.543367346938776,2
PVR,interneuron,GS,-0.351209350113978,0.625387569993984,3
AVFL,interneuron,GS,-0.500991274607609,0.627572016460905,3
AVFR,interneuron,GS,-0.60023194412154,0.571005917159763,2
AVHL,interneuron,GS,-0.811118366838644,0.589409722222222,2
AVHR,interneuron,GS,-0.897953952663334,0.594517958412098,2
PVPL,interneuron,GS,-0.51425228584698,0.20068359375,2
PVPR,interneuron,GS,-0.628177724703084,0.49584487534626,2
LUAL,interneuron,GS,-0.21316362601299,0,1
LUAR,interneuron,GS,-0.19688856331926,0.0832466181061394,2
PVNL,interneuron,GS,-0.294538939481636,0.280015149602323,2
PVNR,interneuron,GS,-0.538664879887574,0.664353542731921,3
AVG,interneuron,GS,-0.465427097765792,0.450653983353151,2
DVB,motor,GS,-0.851414557745596,0.623488309594195,2
RIBL,interneuron,GS,1.58973006769341,0.668947055324212,3
RIBR,interneuron,GS,1.33104618093857,0.689062080085998,3
RIGL,interneuron,GS,0.813678407428876,0.728551085795657,3
RIGR,interneuron,GS,0.736073241402422,0.653705340234819,3
RMGL,interneuron,GS,-0.545158855791559,0.593333333333333,2
RMGR,interneuron,GS,-0.521893714310258,0.5934,2
AIBL,interneuron,GS,2.60027964770274,0.65447539210384,6
AIBR,interneuron,GS,2.41420339236412,0.671834625322997,3
RICL,interneuron,GS,-0.235896711708826,0.681077410593029,3
RICR,interneuron,GS,-0.120584073303674,0.718294051627385,3
SAADL,interneuron,GS,-0.463776023539885,0.634566326530612,3
SAADR,interneuron,GS,-0.327320102958229,0.657154181529925,3
SAAVL,interneuron,GS,-0.488586190918368,0.683492578570999,3
SAAVR,interneuron,GS,-0.717690569518595,0.72512883221242,3
AVKL,interneuron,GS,0.736073241402422,0.720221606648199,3
AVKR,interneuron,GS,0.037626747164341,0.719263642340565,3
DVC,interneuron,GS,-0.0141100301866279,0.551619793520826,2
AVJL,interneuron,GS,-0.49797722315325,0.429752066115702,2
AVJR,interneuron,GS,-0.318951533522229,0.244946492271106,2
PVT,interneuron,GS,-0.66081974707374,0.505,2
AVDL,interneuron,GS,0.958640887935512,0.581853941307386,2
AVDR,interneuron,GS,1.07256632679162,0.483413111342352,2
AVL,interneuron,GS,-0.764293301775678,0.590957636169455,2
PVWL,interneuron,GS,-0.937403915883939,0.5,2
PVWR,interneuron,GS,-1.01064169800572,0.567901234567901,2
RIAL,interneuron,GS,3.06093807381004,0.1060125,5
RIAR,interneuron,GS,3.49522071479432,0.0524148148148148,5
RIML,interneuron,GS,1.2109102745077,0.708604821037254,3
RIMR,interneuron,GS,1.29774586033239,0.706309539066171,3
AVEL,interneuron,GS,2.85728111279215,0.663761706555671,6
AVER,interneuron,GS,2.33991333928246,0.669681723104754,3
RMFL,motor,GS,-0.609082969722771,0.539775093710954,2
RMFR,motor,GS,-1.04884557720601,0.446745562130177,2
RID,interneuron,GS,-0.81534094568097,0.594104308390023,2
AVBL,interneuron,GS,0.950503356588648,0.550059171597633,2
AVBR,interneuron,GS,0.771477666957627,0.556927297668038,2
AVAL,interneuron,GS,2.57800962596157,0.647196682891653,6
AVAR,interneuron,GS,3.57892598162591,0.694689435166072,6
PVCL,interneuron,GS,1.72356883454078,0.607194359878225,2
PVCR,interneuron,GS,1.56895573895036,0.576392644672796,2
RIPL,interneuron,GS,1.95504341798907,0.599173553719008,2
RIPR,interneuron,GS,3.15429485740265,0.622448979591837,6
URADL,motor,GS,-0.743272320691496,0,1
URADR,motor,GS,-1.15839781895004,0.090702947845805,2
URAVL,motor,GS,-0.604897154605313,0.390889504462912,2
URAVR,motor,GS,-0.674084737648404,0.36281179138322,2
RMEL,motor,GS,-0.535709571562222,0.64,3
RMER,motor,GS,-0.0513964902605821,0.444444444444444,2
RMED,motor,GS,-0.583934091593726,0.375,2
RMEV,motor,GS,-0.766334848372526,0.62,2
RMDDL,motor,GS,0.905034963209516,0.322427126710292,2
RMDDR,motor,GS,0.796464302963446,0,1
RMDL,motor,GS,0.269121096053964,0.366993801652893,2
RMDR,motor,GS,0.331161473337433,0.132513390200357,2
RMDVL,motor,GS,1.18421666098512,0.244946492271106,2
RMDVR,motor,GS,0.967075340492984,0.344142011834319,2
RIVL,motor,GS,-0.521893714310258,0.380746349378042,2
RIVR,motor,GS,-0.568423997272859,0.43521722414456,2
RMHL,motor,GS,-1.36596056807932,0.677685950413223,3
RMHR,motor,GS,-1.02002265286386,0.548696844993141,2
SABD,interneuron,GS,-1.15231913190795,0,1
SABVL,interneuron,GS,-0.94537202250407,0,1
SABVR,interneuron,GS,-1.17818752058343,0,1
SMDDL,motor,GS,0.540547746669139,0.170196280991736,2
SMDDR,motor,GS,0.45524222790437,0.317633136094675,2
SMDVL,motor,GS,0.866259727407348,0.0483920134125896,1
SMDVR,motor,GS,0.874014774567782,0.083265306122449,2
SMBDL,motor,GS,-0.506383619989391,0.564279155188246,2
SMBDR,motor,GS,-0.00230555456120993,0.189561925365062,2
SMBVL,motor,GS,-0.525801441986092,0.67281814686659,3
SMBVR,motor,GS,-0.389345521404436,0.650519031141868,3
SIBDL,motor,GS,-0.816585506406733,0,1
SIBDR,motor,GS,-0.708014846160663,0,1
SIBVL,motor,GS,-0.599444185914593,0.21875,2
SIBVR,motor,GS,-0.607199233075027,0.408163265306122,2
SIADL,motor,GS,-0.304752393818118,0.176775147928994,2
SIADR,motor,GS,-0.304752393818118,0.162570888468809,2
SIAVL,motor,GS,-0.296997346657685,0.275147928994083,2
SIAVR,motor,GS,-0.599444185914593,0.355029585798817,2
DA01,motor,GS,-0.088591579737546,0.0849382716049383,2
DA02,motor,GS,-0.616620862941463,0,1
DA03,motor,GS,0.333831846825587,0,1
DA04,motor,GS,-0.616620862941463,0,1
DA05,motor,GS,-0.69582525542205,0,1
DA06,motor,GS,-0.69582525542205,0,1
DA07,motor,GS,-0.882165422133699,0.470416362308254,2
DA08,motor,GS,0.286367424614207,0.172335600907029,2
DA09,motor,GS,1.20889335625729,0.0416478044363966,1
PDA,motor,GS,-0.666909371416979,0.0644444444444444,2
DB01,motor,GS,1.60110212651499,0.031000062000124,1
DB02,motor,GS,0.57144502426735,0,1
DB03,motor,GS,-0.167795972218133,0.300554016620499,2
DB04,motor,GS,-0.986241361184204,0.392623438429506,2
DB05,motor,GS,-0.827832576223029,0.405838376646493,2
DB06,motor,GS,-0.666909371416979,0.375,2
DB07,motor,GS,-0.0518920836549235,0,1
AS01,motor,GS,0.650649416747937,0,1
AS02,motor,GS,-0.748628183742442,0.137174211248285,2
AS03,motor,GS,-0.907036968703617,0,1
AS04,motor,GS,-0.590219398781267,0,1
AS05,motor,GS,-1.22385453862597,0.104938271604938,2
AS06,motor,GS,-1.11824868198518,0,1
AS07,motor,GS,-1.25025600278616,0,1
AS08,motor,GS,-0.574656778252671,0,1
AS09,motor,GS,-0.697660235805082,0,1
AS10,motor,GS,-0.728411100193185,0,1
AS11,motor,GS,-0.543905913864568,0,1
PDB,motor,GS,-1.18967406601473,0,1
DD01,motor,GS,2.57795630044223,0,5
DD02,motor,GS,1.46909480571401,0,1
DD03,motor,GS,2.47235044380145,0,1
DD04,motor,GS,0.175423061864412,0,1
DD05,motor,GS,0.470872610942824,0,1
DD06,motor,GS,3.02319435515536,0,5
VA01,motor,GS,-1.17105161030557,0,1
VA02,motor,GS,-0.00938718725695848,0.0707438016528925,2
VA03,motor,GS,-0.141394508057938,0,1
VA04,motor,GS,-0.590219398781267,0.151935719503287,2
VA05,motor,GS,-0.775029647902638,0,1
VA06,motor,GS,-0.220598900538525,0.035702479338843,1
VA07,motor,GS,-0.405409149659896,0,1
VA08,motor,GS,-0.986241361184204,0.439508506616257,2
VA09,motor,GS,-0.789912828969391,0.475308641975309,2
VA10,motor,GS,-0.636158507028877,0.361495844875346,2
VA11,motor,GS,0.255616560226105,0.121321865097329,2
VA12,motor,GS,2.4389279317814,0.2112,2
VB01,motor,GS,-0.68706752994623,0.638933333333333,3
VB02,motor,GS,0.122620133544021,0.0294052127422588,1
VB03,motor,GS,0.0170142769032373,0,1
VB04,motor,GS,-0.986241361184204,0.0688775510204082,2
VB05,motor,GS,-0.405409149659896,0,1
VB06,motor,GS,-0.167795972218133,0.0922146636432351,2
VB07,motor,GS,-0.23639726998354,0.328942684229263,2
VB08,motor,GS,-0.205646405595437,0,1
VB09,motor,GS,-0.267148134371643,0,1
VB10,motor,GS,-0.328649863147849,0.0540123456790124,2
VB11,motor,GS,0.00960964512128212,0.110726643598616,2
VD01,motor,GS,0.0962186693838248,0.444444444444444,2
VD02,motor,GS,1.68030651899557,0.0997229916897507,2
VD03,motor,GS,2.07632848139851,0,1
VD04,motor,GS,0.967466986670287,0,1
VD05,motor,GS,0.677050880908133,0.40625,2
VD06,motor,GS,1.38989041323342,0.277777777777778,2
VD07,motor,GS,0.677050880908133,0.277777777777778,2
VD08,motor,GS,0.286367424614207,0.512396694214876,2
VD09,motor,GS,0.624626932883338,0,1
VD10,motor,GS,-0.144144676819232,0,1
VD11,motor,GS,0.839882983600058,0.53125,2
VD12,motor,GS,1.82391064401935,0,1
VD13,motor,GS,0.686128661659544,0.308390022675737,2
HSNL,motor,HS,0.02002224034053,0.241059302851969,2
HSNR,motor,HS,-0.426560772472161,0.626339004410838,3
VC01,motor,HS,-0.458212077980288,0.288065843621399,2
VC02,motor,HS,-0.537416470460875,0.360330578512397,2
VC03,motor,HS,-0.167795972218133,0.353161944079565,2
VC04,motor,HS,-1.24529629596209,0.56,2
VC05,motor,HS,-0.897953952663334,0.367768595041322,2
VC06,motor,HS,-0.882165422133699,0.466483011937557,2
