,cell_name,cell_type_herm,Gender_herm,indegree_herm,outdegree_herm,degree_herm,instrength_herm,outstrength_herm,strength_herm,BC_wei_herm,BC_wei_norm_herm,BC_bin_herm,BC_bin_norm_herm,eccentricity_herm,CC_wei_herm,CC_bin_herm,LE_wei_herm,LE_bin_herm,cell_type_male,Gender_male,indegree_male,outdegree_male,degree_male,instrength_male,outstrength_male,strength_male,BC_wei_male,BC_wei_norm_male,BC_bin_male,BC_bin_norm_male,eccentricity_male,CC_wei_male,CC_bin_male,LE_wei_male,LE_bin_male
26,URXR,sensory,GS,4,4,8,13,13,26,517.0,0.0066656352337484,109.168998694374,0.0014075062362287,inf,0.0018096117443966,0.166666666666667,0.0018096117443966,0.166666666666667,sensory,GS,5,5,10,12,12,24,1298,0.0102130739936424,1640.88056177765,0.0129109665579081,inf,0.0005768998281229,0.1,0.0005768998281229,0.1
27,ALNL,sensory,GS,3,3,6,6,6,12,0.0,0.0,6.02803240147158,7.77188881342871e-05,inf,0.0041027221903026,0.666666666666667,0.0050642219038409,0.833333333333333,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
28,ALNR,sensory,GS,4,4,8,20,20,40,0.0,0.0,213.870185695104,0.0027574093717942,inf,0.0,0.0,0.0,0.0,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
29,PLNL,sensory,GS,3,3,6,4,4,8,0.0,0.0,5.76779027009835,7.43636093718361e-05,inf,0.0016798947331931,0.333333333333333,0.0016798947331931,0.333333333333333,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
30,PLNR,sensory,GS,3,3,6,9,9,18,0.0,0.0,19.2167932055232,0.0002477604136758,inf,0.0,0.0,0.0,0.0,sensory,GS,1,1,2,2,2,4,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
31,SDQL,sensory,GS,4,4,8,5,5,10,0.0,0.0,49.8701534633773,0.0006429714739611,inf,0.0021732806999299,0.5,0.0032065701720937,0.722222222222222,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
32,SDQR,sensory,GS,10,10,20,19,19,38,214.0,0.0027590830561357,998.194446406441,0.0128696326346206,inf,0.0014855466752564,0.155555555555556,0.0021319550813242,0.244444444444444,sensory,GS,3,3,6,33,33,66,314,0.002470651181821,110.775071882465,0.0008716132556137,inf,0.0244189341675835,0.666666666666667,0.0280727619640383,0.833333333333333
33,AQR,sensory,GS,6,6,12,117,117,234,4488.0,0.0578633867099868,256.581576334577,0.00330808355038,inf,0.0182610500789264,0.5,0.0200875895829386,0.566666666666667,sensory,GS,3,3,6,11,11,22,0,0.0,3.92064961182608,3.08489095444724e-05,inf,0.0119161346558204,0.666666666666667,0.0146704804433075,0.833333333333333
34,PQR,sensory,GS,10,10,20,62,62,124,10524.0,0.135685000386787,74.0259983572434,0.0009544106438364,inf,0.0075375985111019,0.5,0.0116081157943534,0.733333333333333,sensory,GS,21,21,42,141,141,282,3508,0.0276020520567778,2879.96139418405,0.0226604459303815,inf,0.0047039421255453,0.202380952380952,0.0086014594100195,0.414285714285714
35,ALML,sensory,GS,5,5,10,16,16,32,640.0,0.0082514633454526,351.080887573991,0.0045264548048527,inf,0.002478655893088,0.2,0.002478655893088,0.2,sensory,GS,2,2,4,33,33,66,16,0.0001258930538507,4.23701668323434,3.33381855918101e-05,inf,0.0,0.0,0.0,0.0
36,ALMR,sensory,GS,4,4,8,23,23,46,122.0,0.0015729352002269,75.2849446218235,0.0009706421265803,inf,0.003845998854153,0.166666666666667,0.003845998854153,0.166666666666667,sensory,GS,2,2,4,32,32,64,0,0.0,4.23701668323434,3.33381855918101e-05,inf,0.0,0.0,0.0,0.0
37,AVM,sensory,GS,4,4,8,35,35,70,866.0,0.0111652613393156,45.9887879919077,0.0005929293725265,inf,0.006765678280745,0.333333333333333,0.0090830293773359,0.416666666666667,sensory,GS,4,4,8,87,87,174,1274,0.0100242344128663,157.673883840427,0.0012406279218237,inf,0.0042109063984375,0.166666666666667,0.0042109063984375,0.166666666666667
38,PVM,sensory,GS,9,9,18,27,27,54,0.0,0.0,562.455192035774,0.007251685000848,inf,0.0062870680800549,0.513888888888889,0.008588477129403,0.535714285714286,sensory,GS,9,9,18,29,29,58,0,0.0,190.10561958801,0.0014958110627577,inf,0.0058922299538244,0.513888888888889,0.0085251735889025,0.648809523809524
39,PLML,sensory,GS,10,10,20,65,65,130,544.0,0.0070137438436347,481.983701458388,0.0062141731963898,inf,0.0061639719864939,0.355555555555556,0.0093840615386032,0.551851851851852,sensory,GS,13,13,26,65,65,130,2828,0.0222515972681207,1826.55466164505,0.0143719090237391,inf,0.004690536298948,0.243589743589744,0.0078734575455246,0.440720390720391
40,PLMR,sensory,GS,8,8,16,51,51,102,544.0,0.0070137438436347,408.135382664672,0.0052620533594372,inf,0.0063981940963628,0.321428571428571,0.0118055374322434,0.523809523809524,sensory,GS,11,11,22,51,51,102,1286,0.0101186542032543,1145.34703269261,0.0090119522290357,inf,0.0022123871569224,0.172727272727273,0.0043821013614153,0.310606060606061
41,FLPL,sensory,GS,7,7,14,16,16,32,58.0,0.0007477888656816,755.836705354171,0.0097449357334025,inf,0.0016120579181134,0.142857142857143,0.0017072960133515,0.166666666666667,sensory,GS,3,3,6,13,13,26,256,0.002014288861612,404.435547006975,0.0031822266311567,inf,0.0054865824784634,0.384615384615385,0.0054865824784634,0.384615384615385
42,FLPR,sensory,GS,8,8,16,49,49,98,806.0,0.0103916866506795,330.773586144242,0.0042646345651767,inf,0.002047534247422,0.107142857142857,0.0023356622355478,0.125,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
43,DVA,sensory,GS,23,23,46,88,88,176,15912.0,0.205152007426317,2605.19664649372,0.0335885697441236,inf,0.0024135468749417,0.150197628458498,0.0057168631198259,0.394461697722567,sensory,GS,23,23,46,124,124,248,10089,0.0793834387687659,1842.6445328041,0.0144985092122565,inf,0.0041744888342354,0.225296442687747,0.0089795269746919,0.549736495388669
44,PVDL,sensory,GS,9,9,18,263,263,526,0.0,0.0,302.182072135773,0.0038960067060644,inf,0.008085737954433,0.194444444444444,0.0118257452415029,0.349537037037037,sensory,GS,7,7,14,262,262,524,0,0.0,1058.90776460725,0.0083318207645426,inf,0.0147916587931802,0.380952380952381,0.0218885538085954,0.611111111111111
45,PVDR,sensory,GS,8,8,16,265,265,530,1032.0,0.0133054846445424,612.286842404022,0.0078941600578121,inf,0.0097137751274899,0.178571428571429,0.0135137931228041,0.324404761904762,sensory,GS,8,8,16,266,266,532,2086,0.016413306895792,1270.89537306208,0.0099998062274736,inf,0.0099390966831551,0.142857142857143,0.012367572316011,0.19047619047619
46,ADEL,sensory,GS,7,7,14,9,9,18,198.0,0.0025527964724994,817.342082495662,0.0105379191162639,inf,0.0006833144860891,0.0952380952380952,0.0006833144860891,0.0952380952380952,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
47,ADER,sensory,GS,7,7,14,18,18,36,1592.0,0.0205255150718135,908.674553847713,0.0117154605844062,inf,0.0003976002003748,0.0714285714285714,0.0003023621051368,0.0476190476190476,sensory,GS,1,1,2,1,1,2,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
48,PDEL,sensory,GS,10,10,20,59,59,118,1732.0,0.0223305226786313,1151.96997568774,0.0148522469210147,inf,0.0077407993607124,0.344444444444444,0.0096387409869536,0.477777777777778,sensory,GS,10,10,20,58,58,116,318,0.0025021244452837,290.496543727535,0.0022857185639342,inf,0.0074530216600682,0.411111111111111,0.011250191568016,0.685185185185185
49,PDER,sensory,GS,13,13,26,74,74,148,1878.0,0.0242128877543127,657.672908245987,0.008479318587014,inf,0.0066338007915214,0.352564102564103,0.0110068041500519,0.637820512820513,sensory,GS,12,12,24,67,67,134,1444,0.0113618481100305,486.15425225136,0.0038252152161533,inf,0.0047792895757052,0.265151515151515,0.0081525221014145,0.543939393939394
50,PHAL,sensory,GS,6,6,12,20,20,40,206.0,0.0026559397643175,163.79247602548,0.0021117618940393,inf,0.0021898598239114,0.2,0.0021898598239114,0.2,sensory,GS,12,12,24,116,116,232,1654,0.0130141944418217,1108.5879096692,0.0087227198381424,inf,0.0022243118793303,0.121212121212121,0.0026467044824482,0.156565656565657
51,PHAR,sensory,GS,8,8,16,36,36,72,544.0,0.0070137438436347,315.112175171985,0.0040627133799023,inf,0.0028158170982251,0.196428571428571,0.0036074269695218,0.267857142857143,sensory,GS,11,11,22,168,168,336,4169,0.032803008843987,411.185661486325,0.0032353386640097,inf,0.0077199532145604,0.245454545454545,0.013657825492256,0.472424242424243
52,PHBL,sensory,GS,8,8,16,29,29,58,100.0,0.0012892911477269,443.399675839958,0.0057167127696547,inf,0.0036261964004211,0.321428571428571,0.0060027846222638,0.511904761904762,sensory,GS,3,3,6,49,49,98,0,0.0,7.0449318646066,5.54317491628631e-05,inf,0.0039499947578765,0.333333333333333,0.0039499947578765,0.333333333333333
53,PHBR,sensory,GS,6,6,12,32,32,64,314.0,0.0040483742038627,52.9281245525054,0.0006823976245133,inf,0.0056602093663116,0.366666666666667,0.0076539651343046,0.477777777777778,sensory,GS,8,8,16,87,87,174,988,0.007773896075284,117.827641899957,0.0009271051041761,inf,0.0108018106451217,0.321428571428571,0.0143703161378013,0.446428571428571
54,PHCL,sensory,GS,5,5,10,7,7,14,272.0,0.0035068719218173,127.897030379001,0.0016489650908821,inf,0.0012308166570908,0.2,0.0012308166570908,0.2,sensory,GS,7,7,14,32,32,64,49,0.0003855474774179,178.085110903174,0.0014012299035594,inf,0.0034079851901232,0.19047619047619,0.005955750642349,0.317460317460317
55,PHCR,sensory,GS,9,9,18,22,22,44,810.0,0.0104432582965885,228.292318224432,0.0029433526498083,inf,0.0038539208639679,0.333333333333333,0.0052594398400012,0.518518518518519,sensory,GS,8,8,16,31,31,62,832,0.0065464388002392,307.657469470335,0.0024207461482259,inf,0.0025486364886233,0.160714285714286,0.003781513478526,0.238095238095238
56,IL2DL,sensory,GS,1,1,2,1,1,2,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,sensory,GS,1,1,2,2,2,4,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
57,IL2DR,sensory,GS,2,2,4,2,2,4,14.0,0.0001805007606817,55.0473748473748,0.0007097209309632,inf,0.0,0.0,0.0,0.0,sensory,GS,2,2,4,5,5,10,642,0.0050514587857615,642.0,0.0050514587857615,inf,0.0,0.0,0.0,0.0
58,IL2L,sensory,GS,9,9,18,20,20,40,1452.0,0.0187205074649957,768.710880593807,0.00991092133511,inf,0.0006267793531407,0.0833333333333333,0.0007149683004723,0.0972222222222222,sensory,GS,4,4,8,36,36,72,1476,0.011613634217732,1256.28726818329,0.0098848650440884,inf,0.0059192456050925,0.25,0.0049445730256882,0.166666666666667
59,IL2R,sensory,GS,3,3,6,9,9,18,146.0,0.0018823650756813,32.9202298961373,0.0004244376098622,inf,0.0036192234887932,0.333333333333333,0.0036192234887932,0.333333333333333,sensory,GS,4,4,8,6,6,12,52,0.0004091524250149,1377.15550797296,0.0108358945328814,inf,0.0,0.0,0.0,0.0
60,IL2VL,sensory,GS,1,1,2,3,3,6,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,sensory,GS,2,2,4,2,2,4,0,0.0,59.8063492063492,0.0004705752463282,inf,0.0031748021039364,0.5,0.0,0.0
61,IL2VR,sensory,GS,2,2,4,2,2,4,8.0,0.0001031432918181,89.2763800026914,0.0011510324643858,inf,0.0,0.0,0.0,0.0,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
62,CEPDL,sensory,GS,1,1,2,2,2,4,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,sensory,GS,4,4,8,8,8,16,1284,0.010102917571523,767.220601856171,0.0060367340340554,inf,0.0012114137285547,0.166666666666667,0.0012114137285547,0.166666666666667
63,CEPDR,sensory,GS,1,1,2,8,8,16,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,sensory,GS,5,5,10,21,21,42,54,0.0004248890567462,3517.49449115687,0.0276767577121838,inf,0.0009929165927333,0.15,0.0005768998281229,0.1
64,CEPVL,sensory,GS,3,3,6,8,8,16,306.0,0.0039452309120445,81.7563689655656,0.001054077627776,inf,0.0,0.0,0.0,0.0,sensory,GS,6,6,12,48,48,96,1880,0.0147924338274636,1642.3576549604,0.012922588793633,inf,0.008406206171264,0.366666666666667,0.0151737123119342,0.0
65,CEPVR,sensory,GS,3,3,6,3,3,6,108.0,0.0013924344395451,555.872292719365,0.0071668122626977,inf,0.0,0.0,0.0,0.0,sensory,GS,4,4,8,44,44,88,7048,0.055455890221257,1447.02460047985,0.0113856466219735,inf,0.0,0.0,0.0,0.0
66,URYDR,sensory,GS,3,3,6,9,9,18,528.0,0.0068074572599984,772.300505470486,0.0099572020508816,inf,0.0,0.0,0.0,0.0,sensory,GS,2,2,4,14,14,28,0,0.0,216.971914064986,0.0017072035538427,inf,0.0,0.0,0.0,0.0
67,URYVL,sensory,GS,2,2,4,4,4,8,0.0,0.0,110.593570572837,0.0014258731153507,inf,0.0,0.0,0.0,0.0,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
68,URYVR,sensory,GS,1,1,2,2,2,4,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,sensory,GS,1,1,2,2,2,4,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
69,OLLL,sensory,GS,3,3,6,16,16,32,132.0,0.0017018643149996,88.8004048256525,0.0011448957585628,inf,0.0,0.0,0.0,0.0,sensory,GS,5,5,10,58,58,116,3096,0.0243603059201209,1348.61188491534,0.0106113042907133,inf,0.0042149129721185,0.1,0.0042149129721185,0.1
70,OLLR,sensory,GS,2,2,4,16,16,32,606.0,0.0078131043552255,17.0467976467976,0.000219782853031,inf,0.0,0.0,0.0,0.0,sensory,GS,4,4,8,53,53,106,3260,0.0256507097220911,1150.95755612032,0.0090560975995367,inf,0.0,0.0,0.0,0.0
71,OLQDL,sensory,GS,5,5,10,14,14,28,1518.0,0.0195714396224956,752.02470335553,0.0096957879290829,inf,0.0022661899870977,0.15,0.001422757321796,0.1,sensory,GS,4,4,8,18,18,36,2262,0.0177981304881503,638.41896731654,0.0050232820894827,inf,0.0042550028659066,0.166666666666667,0.0042550028659066,0.166666666666667
72,OLQDR,sensory,GS,6,6,12,27,27,54,1612.0,0.0207833733013589,862.191823850026,0.0111161628613242,inf,0.0015786538382275,0.1,0.0009119871715609,0.0666666666666667,sensory,GS,3,3,6,13,13,26,868,0.0068296981714033,994.727061892201,0.0078268267230998,inf,0.0,0.0,0.0,0.0
73,OLQVL,sensory,GS,5,5,10,15,15,30,972.0,0.0125319099559062,336.545336719473,0.0043390492344121,inf,0.001373657091064,0.15,0.0009157713940426,0.1,sensory,GS,3,3,6,24,24,48,172,0.0013533503288956,290.448070673212,0.0022853371626318,inf,0.0140497099070618,0.333333333333333,0.0140497099070618,0.333333333333333
74,OLQVR,sensory,GS,7,7,14,22,22,44,1044.5,0.0134666460380083,959.654413005975,0.0123727393956573,inf,0.0013301477586184,0.0714285714285714,0.0007924128849721,0.0476190476190476,sensory,GS,5,5,10,24,24,48,7600,0.059799200579108,2498.76899928467,0.0196611037617212,inf,0.0017086820074624,0.15,0.0010482965576835,0.1
75,IL1DL,sensory,GS,3,3,6,6,6,12,0.0,0.0,105.824024870322,0.0013643797848214,inf,0.0030525713134755,0.333333333333333,0.0030525713134755,0.333333333333333,sensory,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
76,IL1DR,sensory,GS,4,4,8,16,16,32,2056.0,0.0265078259972667,781.940771610481,0.010081493148842,inf,0.0015262856567377,0.166666666666667,0.0015262856567377,0.166666666666667,sensory,GS,2,2,4,9,9,18,0,0.0,318.171245418913,0.0025034718583302,inf,0.0,0.0,0.0,0.0
77,IL1L,sensory,GS,5,5,10,14,14,28,334.0,0.0043062324334081,155.013856854646,0.0019985799341771,inf,0.0003174802103936,0.05,0.0,0.0,sensory,GS,3,3,6,19,19,38,278,0.0021873918106568,201.325524485124,0.001584092818471,inf,0.0098891460513765,0.333333333333333,0.0098891460513765,0.333333333333333
78,IL1R,sensory,GS,2,2,4,16,16,32,1112.0,0.014336917562724,208.875794408043,0.0026930171270473,inf,0.0,0.0,0.0,0.0,sensory,GS,2,2,4,23,23,46,640,0.0050357221540301,26.6666666666667,0.0002098217564179,inf,0.0,0.0,0.0,0.0
79,IL1VL,sensory,GS,4,4,8,23,23,46,624.0,0.0080451767618163,979.101287725757,0.0126234662299291,inf,0.0,0.0,0.0,0.0,sensory,GS,4,4,8,35,35,70,1988,0.0156422119409562,620.470161660085,0.0048820552171661,inf,0.0,0.0,0.0,0.0
80,IL1VR,sensory,GS,4,4,8,24,24,48,1084.0,0.0139759160413605,656.033983694105,0.0084581880778487,inf,0.0,0.0,0.0,0.0,sensory,GS,5,5,10,45,45,90,1308,0.0102917571522991,825.508819067477,0.0064953641383208,inf,0.0,0.0,0.0,0.0
81,AINL,interneuron,GS,4,4,8,5,5,10,14.0,0.0001805007606817,252.987488489323,0.0032617452939496,inf,0.0,0.0,0.0,0.0,interneuron,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
82,AINR,interneuron,GS,7,7,14,15,15,30,1270.0,0.0163739975761326,736.560733144976,0.0094964123300711,inf,0.0,0.0,0.0,0.0,interneuron,GS,1,1,2,1,1,2,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
83,AIML,interneuron,GS,2,2,4,3,3,6,0.0,0.0,34.6095313507213,0.0004462176239746,inf,0.0,0.0,0.0,0.0,interneuron,GS,2,2,4,10,10,20,1280,0.0100714443080603,1280.0,0.0100714443080603,inf,0.0,0.0,0.0,0.0
84,AIMR,interneuron,GS,4,4,8,6,6,12,316.0,0.0040741600268172,536.825746267347,0.0069212468253442,inf,0.0017471609294726,0.166666666666667,0.0017471609294726,0.166666666666667,interneuron,GS,3,3,6,4,4,8,642,0.0050514587857615,642.0,0.0050514587857615,inf,0.0013333333333333,0.333333333333333,0.0013333333333333,0.333333333333333
85,RIH,interneuron,GS,5,5,10,6,6,12,0.0,0.0,353.954460515259,0.004563503526408,inf,0.0,0.0,0.0,0.0,interneuron,GS,6,6,12,50,50,100,6226,0.0489881345796746,2510.17942947906,0.0197508846306539,inf,0.0011701843940438,0.0333333333333333,0.0,0.0
86,URBL,interneuron,GS,5,5,10,19,19,38,1402.0,0.0180758618911323,280.439515800562,0.003615681851945,inf,0.0012,0.1,0.0012,0.1,interneuron,GS,2,2,4,19,19,38,0,0.0,0.0,0.0,inf,0.0296674381541295,1.0,0.0296674381541295,1.0
87,URBR,interneuron,GS,5,5,10,19,19,38,501.0,0.0064593486501121,244.390948581413,0.0031509108659061,inf,0.0,0.0,0.0,0.0,interneuron,GS,0,0,0,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
88,RIR,interneuron,GS,2,2,4,9,9,18,338.0,0.0043578040793171,0.0,0.0,inf,0.0108576704663796,1.0,0.0108576704663796,1.0,interneuron,GS,3,3,6,26,26,52,642,0.0050514587857615,1631.74984903492,0.0128391232259695,inf,0.0,0.0,0.0,0.0
89,AIYL,interneuron,GS,4,4,8,12,12,24,508.0,0.006549599030453,231.006388407065,0.002978344916416,inf,0.0,0.0,0.0,0.0,interneuron,GS,1,1,2,4,4,8,0,0.0,0.0,0.0,inf,inf,inf,0.0,0.0
