cell_class,cell_type,Gender,cell_name,general_location,hemisphere
AIM,Modulatory neuron,GS,AIMR,head,right
ALA,Modulatory neuron,GS,ALA,head,midline
AVF,Modulatory neuron,GS,AVFL,head,left
AVF,Modulatory neuron,GS,AVFR,head,right
AVH,Modulatory neuron,GS,AVHL,head,left
AVH,Modulatory neuron,GS,AVHR,head,right
AVK,Modulatory neuron,GS,AVKL,head,left
AVK,Modulatory neuron,GS,AVKR,head,right
AVL,Modulatory neuron,GS,AVL,head,midline
CEP,Modulatory neuron,GS,CEPDL,head,left
CEP,Modulatory neuron,GS,CEPDR,head,right
CEP,Modulatory neuron,GS,CEPVL,head,left
CEP,Modulatory neuron,GS,CEPVR,head,right
DVC,Interneuron,GS,DVC,tail,midline
HSN,Modulatory neuron,HS,HSNL,tail,left
HSN,Modulatory neuron,HS,HSNR,tail,right
PVN,Modulatory neuron,GS,PVNL,tail,left
PVN,Modulatory neuron,GS,PVNR,tail,right
PVQ,Modulatory neuron,GS,PVQL,tail,left
PVQ,Modulatory neuron,GS,PVQR,tail,right
RIC,Modulatory neuron,GS,RICL,head,left
RIC,Modulatory neuron,GS,RICR,head,right
RID,Modulatory neuron,GS,RID,head,midline
RIS,Modulatory neuron,GS,RIS,head,midline
RMG,Modulatory neuron,GS,RMGL,head,left
RMG,Modulatory neuron,GS,RMGR,head,right
